Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #

"CL32B106KAJNNNE","Cap Ceramic 10uF 25V X7R ±10% SMD 1210 +125°C Embossed T/R","C1, C11","FP-CL32-IPC_B","CMP-13271-001383-1","2","C39232"
"CC0603KRX7R9BB104","CAP CER 0.1UF 50V X7R 0603","C2, C3, C4, C5, C6, C7, C10","FP-CC0603-DA-MFG","CMP-2100-03601-2","7","C14663"
"CC0603KRX7R9BB103","CAP CER 10000PF 50V X7R 0603","C8","FP-CC0603-DA-MFG","CMP-2100-03600-2","1","C100042"
"CL10A105KO8NNNC","Cap Ceramic 1uF 16V X5R ±10% Pad SMD 0603 +85°C T/R","C9","FP-CL10-IPC_A","CMP-13271-001457-1","1","C1592"
"BLM18EG601SN1D","Chip Ferrite Bead, 0603, 600O @ 100MHz, 0.35O, 25%, 500mA","L1, L2","FP-BLM18-0_15-t0_8-MFG","CMP-0686-00354-3","2","C20345"
"TF-01A","Standard Card Edge Connectors","MICRO_SD","TF-01A","TF-01A","1","C91145"
"AC0805FR-0710KL","RES SMD 10K OHM 1% 1/8W 0805","R1","FP-AC0805-MFG","CMP-2001-04480-2","1","C140868"
"CRCW0805220RFKEA","RES Thick Film, 220O, 1%, 0.125W, 100ppm/°C, 0805","R2","FP-CRCW0805-e3-MFG","CMP-2001-03682-2","1","C844204"
"RC0805FR-071KL","Chip Resistor, 1 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R3","RESC2013X60X35ML10T20","CMP-2100-03671-1","1","C95781"
"YC164-JR-0747KL","47k Ohm Â±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array Â±200ppm/Â°C 1206 (3216 Metric), Convex, Long Side Terminals","R4","RESCAXE80P320X160X70-8N","YC164-JR-0747KL","1","C779384"
"RC0603JR-070RL","Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R5, R6, R7, R8, R9, R10","RESC1608X55X25ML10T15","CMP-2100-03667-1","6","C95177"
"STM32L476RCT6","Ultra-Low-Power ARM Cortex-M4 32-bit MCU+FPU, 256 KB Flash, 128 KB Internal RAM, 51 I/Os, 64-Pin LQFP, -40 to 85 degC, Tray","U1","STM-LQFP64_L","CMP-1655-00010-2","1","C73245"
